CENTROID_ID,NEAREST_CENTROIDS_DISTANCE,PULocationID,BinNum,duration,num_trips
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.58479726077464933""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.4494871470757471""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.6882476995170554""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7134001159847152""
  }]
}",166,1,15.05555556,72
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.33219233208784227""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.6132224208117047""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.225988074103002""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.6372644348890244""
  }]
}",244,8,28.32183908,87
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.986752401808944""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.1271621930233382""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.6311755061525102""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.5758721342239248""
  }]
}",107,5,21.2,65
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.50627880905427636""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.2243865665942679""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.5506637550458966""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.6986851221445587""
  }]
}",151,3,10.79487179,39
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.8415027624839797""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.8040993449605478""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.3942858007252252""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.703499578301""
  }]
}",246,4,29.03030303,33
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.870697520870057""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.5876742327847595""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.257500351584826""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.68244258583356""
  }]
}",13,4,27.27272727,22
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.3416957107872234""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""3.036857317375163""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""3.4462298705350904""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.84877428854462""
  }]
}",236,1,5.163461538,104
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.41592908667686795""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.065026286441511""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.3955944324292426""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.6984151840008845""
  }]
}",152,2,17.09090909,11
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.659373166280704""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.4862983500118507""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.4871019931675846""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.467610478691908""
  }]
}",41,8,17.49308756,217
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.3079855930807317""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.3246128160836972""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.4104253590839284""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7146966726201924""
  }]
}",100,2,14.36363636,11
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.40953740360049251""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""1.7128694075982811""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.3875339927309409""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.5012227401413956""
  }]
}",164,11,19.2972973,296
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.35051750063834264""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.1783602100050903""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.4113027359620318""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.6779324824113484""
  }]
}",137,3,12.04545455,44
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.33977091825094752""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.4010413464161013""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.4235061318658064""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7259024805212011""
  }]
}",143,2,13.6,5
2,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""0.85252584086130623""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.6463239039753059""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.6816595316821137""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7517421781429157""
  }]
}",233,12,11.18681319,91
1,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""0.6735820327445885""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.5311004671992565""
  }, {
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""2.7769765001863611""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7599242614508785""
  }]
}",239,2,10,23
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.930402434398132""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""1.1838771926409959""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.7271886075501073""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.5699278594643182""
  }]
}",48,5,23.06818182,88
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.72002769161774027""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""1.2476484364282368""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.2329135595094964""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.68479610722223""
  }]
}",120,9,26,1
4,"{
  ""NEAREST_CENTROIDS_DISTANCE"": [{
    ""CENTROID_ID"": ""4"",
    ""DISTANCE"": ""0.7972556931196535""
  }, {
    ""CENTROID_ID"": ""1"",
    ""DISTANCE"": ""2.4285623559647882""
  }, {
    ""CENTROID_ID"": ""2"",
    ""DISTANCE"": ""2.6272896068024836""
  }, {
    ""CENTROID_ID"": ""3"",
    ""DISTANCE"": ""8.7639263818792053""
  }]
}",231,5,33.65151515,66
